마번,마명,모마성적
33037,리스킨잇올,1전(0/0/1)
33038,진즈바,10전(0/0/2)
33046,미스킥,19전(2/6/4)
33047,서브잇콜드,9전(1/2/2)
33048,로빈즈레인,0전(0/0/0)
33050,그레이스컬린,8전(0/0/0)
33066,째즈먼,0전(0/0/0)
33067,스카이라라,11전(3/2/3)
33069,디디스와일드캣,14전(2/2/3)
33077,어번쇼커,35전(5/7/3)
33079,로즈어네이티브,11전(1/1/0)
33083,바잉티그,33전(7/4/4)
33089,파이브골드링즈,7전(0/0/0)
33090,아이시미니스터,0전(0/0/0)
33092,딜라이트펄송,6전(2/1/2)
